algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found
DFS_limit_100,1203948500,697,100,775,25.6371045,True
DFS_limit_100,2039485700,2930,0,0,0.0127864,False

UniformCost,384927102,7468,101,830,25.8202512,True
UniformCost,1298374650,6676,60,456,15.5276470,True
UniformCost,298374651,8628,97,754,24.8168237,True
UniformCost,1827364512,6655,81,675,20.8111789,True
UniformCost,938475612,1083,17,89,4.7494302,True
UniformCost,564738291,2868,101,317,25.7747300,True
UniformCost,2039485761,870,9,81,2.7475951,True
UniformCost,1092837465,9126,157,994,39.8156824,True
UniformCost,847362915,362,43,70,11.2464786,True
UniformCost,192837465,82,10,28,2.9940915,True
UniformCost,374829105,117,20,29,5.5084198,True
UniformCost,2837465920,4093,43,259,11.3101957,True
UniformCost,918273645,6116,99,522,25.2923076,True
UniformCost,657483920,1671,19,163,5.2569280,True
UniformCost,1203948576,1887,37,199,9.7384610,True
UniformCost,847362918,7696,109,505,27.8322494,True
UniformCost,938475610,7635,86,662,22.0774639,True
UniformCost,1230984756,7453,124,664,31.5701647,True
UniformCost,564738295,3880,71,395,18.2733595,True
UniformCost,2039485790,8346,76,652,19.5575933,True
UniformCost,918273640,3186,28,208,7.5211432,True
UniformCost,1298374610,1689,17,152,4.7499163,True
UniformCost,283746599,2778,31,211,8.2830591,True
UniformCost,192837460,4980,81,306,20.7889760,True
UniformCost,374829100,3731,97,295,24.7912607,True
UniformCost,847362900,6210,113,527,28.7999637,True
UniformCost,1092837400,5236,69,528,17.8035638,True
UniformCost,657483900,1929,62,134,16.0181241,True
UniformCost,1203948500,6800,84,615,21.5526123,True
UniformCost,2039485700,1328,24,96,6.5047557,True

A*_esc1,384927102,3093,101,830,25.7841082,True
A*_esc1,1298374650,2090,60,456,15.5343409,True
A*_esc1,298374651,5120,97,754,24.8112113,True
A*_esc1,1827364512,2199,81,675,20.7834883,True
A*_esc1,938475612,181,17,89,4.7461338,True
A*_esc1,564738291,3262,101,317,25.7786496,True
A*_esc1,2039485761,51,9,81,2.7413030,True
A*_esc1,1092837465,7649,157,994,39.8086107,True
A*_esc1,847362915,910,43,70,11.2521875,True
A*_esc1,192837465,59,10,28,2.9898834,True
A*_esc1,374829105,202,20,29,5.4900200,True
A*_esc1,2837465920,1108,43,259,11.2530229,True
A*_esc1,918273645,4940,99,522,25.2827840,True
A*_esc1,657483920,201,19,163,5.2455034,True
A*_esc1,1203948576,678,37,199,9.7650704,True
A*_esc1,847362918,5618,109,505,27.8159783,True
A*_esc1,938475610,3532,86,662,22.0581055,True
A*_esc1,1230984756,7399,124,664,31.5683696,True
A*_esc1,564738295,2291,71,395,18.2730768,True
A*_esc1,2039485790,3407,78,654,20.0656297,True
A*_esc1,918273640,455,28,208,7.5308197,True
A*_esc1,1298374610,176,17,152,4.7605448,True
A*_esc1,283746599,603,31,211,8.2704356,True
A*_esc1,192837460,3694,81,306,20.8053021,True
A*_esc1,374829100,3548,97,295,24.7840431,True
A*_esc1,847362900,5730,113,527,28.8365309,True
A*_esc1,1092837400,2299,69,528,17.7698133,True
A*_esc1,657483900,2327,64,154,16.5729117,True
A*_esc1,1203948500,3470,84,615,21.7708011,True
A*_esc1,2039485700,355,24,96,6.5277891,True

A*_esc2,384927102,3683,101,830,25.7974494,True
A*_esc2,1298374650,2558,60,456,15.5205948,True
A*_esc2,298374651,6094,97,754,24.7898943,True
A*_esc2,1827364512,2680,81,675,20.7919803,True
A*_esc2,938475612,263,17,89,4.7395513,True
A*_esc2,564738291,3270,101,317,25.7697632,True
A*_esc2,2039485761,149,9,81,2.7477582,True
A*_esc2,1092837465,8298,157,994,39.8452632,True
A*_esc2,847362915,743,43,70,11.2546194,True
A*_esc2,192837465,57,10,28,3.0014534,True
A*_esc2,374829105,161,20,29,5.5015662,True
A*_esc2,2837465920,1397,43,259,11.3498759,True
A*_esc2,918273645,5270,99,522,25.3860838,True
A*_esc2,657483920,389,19,163,5.2848060,True
A*_esc2,1203948576,811,37,199,9.7869298,True
A*_esc2,847362918,5933,109,505,27.8890786,True
A*_esc2,938475610,4099,86,662,22.0834250,True
A*_esc2,1230984756,7387,124,664,31.7054741,True
A*_esc2,564738295,2350,71,395,18.3424838,True
A*_esc2,2039485790,4243,78,654,20.0749538,True
A*_esc2,918273640,737,28,208,7.5592747,True
A*_esc2,1298374610,368,17,152,4.7904983,True
A*_esc2,283746599,860,31,211,8.2904561,True
A*_esc2,192837460,3836,81,306,20.8130646,True
A*_esc2,374829100,3602,97,295,24.8316684,True
A*_esc2,847362900,6023,113,527,28.8426003,True
A*_esc2,1092837400,2676,69,528,17.7684956,True
A*_esc2,657483900,2229,62,134,16.0653727,True
A*_esc2,1203948500,3965,84,615,21.5681059,True
A*_esc2,2039485700,424,24,96,6.5244126,True



algorith_name,avg_states_n,avg_action_count,avg_action_cost,avg_time,stdev_states_n,stdev_action_count,stdev_action_cost,stdev_time
Random,13,20,118,5.8177700,8.1388101,17.78285368,105.7286975,4.430474594
BFS,4231,66,381,16.9540800,2985.7625676,39.1114529,266.5766026,9.7963740
DFS,5173,933,7460,234.2398200,2640.7987524,224.2337655,1865.7394112,56.2258742
DFS_limit_50,845,6,45,1.5454100,333.6067201,15.6441756,117.1334881,4.1037405
DFS_limit_75,1503,17,122,4.2962200,642.8084760,30.8214920,225.9786278,7.9473717
DFS_limit_100,2091,28,207,7.2289500,1165.9543947,42.5584655,312.2527638,10.8974961
UniformCost,4353,66,381,16.9178100,2875.193013,39.11145289,266.5766026,9.800587423
A*_esc1,2555,66,381,16.9558800,2224.6305753,39.1269669,266.0335646,9.8070507
A*_esc2,2819,66,381,16.9572300,2351.6297614,39.1316082,266.6470740,9.8150586
