name,seed,size,initial_board,final_board,duration,states
backtracking,1092837400,8,"[?, 0, ?, ?, ?, ?, ?, 4]","[6, 0, 2, 7, 5, 3, 1, 4]",0.0003142356872558594,350
backtracking,1092837400,10,"[?, ?, ?, 0, ?, ?, ?, ?, ?, 3]","[1, 4, 6, 0, 9, 5, 8, 2, 7, 3]",0.0001285076141357422,130
backtracking,1092837400,12,"[?, 2, ?, ?, ?, 0, ?, ?, 4, ?, ?, ?]","[6, 2, 5, 7, 9, 0, 3, 1, 4, 11, 8, 10]",0.0005280971527099609,417
backtracking,1092837400,15,"[?, 8, ?, ?, ?, ?, ?, 0, ?, ?, 2, ?, ?, ?, ?]","[1, 8, 4, 7, 9, 3, 14, 0, 11, 5, 2, 6, 12, 10, 13]",0.0004258155822753906,332

backtracking,657483900,4,"[?, ?, 3, ?]","[2, 0, 3, 1]",2.7179718017578125e-05,10
backtracking,657483900,8,"[?, ?, ?, ?, 6, ?, ?, 4]","[0, 5, 7, 2, 6, 3, 1, 4]",0.00011706352233886719,96
backtracking,657483900,10,"[?, ?, ?, 1, ?, ?, ?, ?, ?, 8]","[3, 6, 9, 1, 4, 7, 0, 2, 5, 8]",0.0024666786193847656,2634
backtracking,657483900,12,"[?, ?, ?, 11, ?, ?, 7, ?, 3, ?, ?, ?]","[2, 6, 8, 11, 4, 1, 7, 10, 3, 0, 9, 5]",0.002597332000732422,2706
backtracking,657483900,15,"[?, ?, ?, 10, 1, ?, 8, ?, ?, ?, ?, ?, ?, ?, ?]","[0, 2, 5, 10, 1, 13, 8, 3, 12, 14, 9, 6, 4, 11, 7]",0.0024230480194091797,1643

backtracking,1203948500,4,"[1, ?, ?, ?]","[1, 3, 0, 2]",1.7642974853515625e-05,8
backtracking,1203948500,8,"[7, 4, ?, ?, ?, ?, ?, ?]",null,0.00024056434631347656,328
backtracking,1203948500,10,"[?, ?, 7, ?, ?, ?, ?, 6, ?, ?]","[1, 4, 7, 5, 8, 2, 0, 6, 3, 9]",0.0010259151458740234,1260
backtracking,1203948500,12,"[?, ?, 11, ?, ?, ?, 5, 3, ?, ?, ?, ?]","[0, 8, 11, 4, 1, 9, 5, 3, 10, 7, 2, 6]",0.0012700557708740234,1256
backtracking,1203948500,15,"[?, ?, 11, ?, ?, ?, ?, 7, ?, ?, ?, ?, ?, ?, 13]","[1, 3, 11, 6, 8, 12, 0, 7, 14, 2, 5, 9, 4, 10, 13]",0.002565622329711914,2531

backtracking,2039485700,4,"[?, ?, ?, 3]",null,2.0503997802734375e-05,16
